AccidentTwoWays_Town12_Route1102_Weather10.tar.gz	431879587
AccidentTwoWays_Town12_Route1103_Weather11.tar.gz	279443560
AccidentTwoWays_Town12_Route1104_Weather12.tar.gz	268023816
AccidentTwoWays_Town12_Route1105_Weather13.tar.gz	146208246
AccidentTwoWays_Town12_Route1106_Weather14.tar.gz	296301415
AccidentTwoWays_Town12_Route1107_Weather15.tar.gz	487429369
AccidentTwoWays_Town12_Route1109_Weather9.tar.gz	259856278
AccidentTwoWays_Town12_Route1110_Weather18.tar.gz	805422958
AccidentTwoWays_Town12_Route1111_Weather19.tar.gz	483146320
AccidentTwoWays_Town12_Route1112_Weather20.tar.gz	305195309
AccidentTwoWays_Town12_Route1113_Weather21.tar.gz	252507680
AccidentTwoWays_Town12_Route1114_Weather22.tar.gz	385267137
AccidentTwoWays_Town12_Route1115_Weather23.tar.gz	378045977
AccidentTwoWays_Town12_Route1116_Weather23.tar.gz	325781760
AccidentTwoWays_Town12_Route1117_Weather25.tar.gz	411153955
AccidentTwoWays_Town12_Route1119_Weather1.tar.gz	983866449
AccidentTwoWays_Town12_Route1120_Weather2.tar.gz	296100580
AccidentTwoWays_Town12_Route1121_Weather3.tar.gz	181759292
AccidentTwoWays_Town12_Route1124_Weather18.tar.gz	1240922644
AccidentTwoWays_Town12_Route1126_Weather8.tar.gz	312852145
AccidentTwoWays_Town12_Route1127_Weather9.tar.gz	302025157
AccidentTwoWays_Town12_Route1444_Weather0.tar.gz	341845960
AccidentTwoWays_Town12_Route1445_Weather1.tar.gz	421161539
AccidentTwoWays_Town12_Route1446_Weather2.tar.gz	325838936
AccidentTwoWays_Town12_Route1448_Weather5.tar.gz	307719445
AccidentTwoWays_Town12_Route1453_Weather12.tar.gz	321739513
AccidentTwoWays_Town12_Route1454_Weather13.tar.gz	241022808
AccidentTwoWays_Town12_Route1455_Weather14.tar.gz	268420165
AccidentTwoWays_Town12_Route1456_Weather15.tar.gz	307288254
AccidentTwoWays_Town12_Route1458_Weather9.tar.gz	235261670
AccidentTwoWays_Town12_Route1459_Weather18.tar.gz	309292436
AccidentTwoWays_Town12_Route1461_Weather20.tar.gz	400187739
AccidentTwoWays_Town12_Route1463_Weather22.tar.gz	276586405
AccidentTwoWays_Town12_Route1468_Weather2.tar.gz	412947975
AccidentTwoWays_Town12_Route1469_Weather3.tar.gz	318815267
Accident_Town03_Route101_Weather23.tar.gz	174853755
Accident_Town03_Route102_Weather20.tar.gz	194025708
Accident_Town03_Route146_Weather8.tar.gz	242654284
