condition,longest_below_0_25_s,longest_low_speed_end_s,longest_low_speed_start_s,maximum_raw_uq,mean_raw_uq,mean_speed_mps,minimum_speed_mps,note,official_outcome,route_index,run,sim_time_end_s,status,trace_path,trace_steps,uq_above_0_4_fraction
clean_off,,,,,,,,Town12 was absent from the installed CARLA package; no control trace was produced.,False,113,route113_hazard_clean_off-1051669,,environment_error,,0,
clean_off,1.1,1.1,0.0,0.31707316637039185,0.16505198238220642,4.2104944202375645,2.110449675104451e-07,Diagnostic-only partial run: SensorReceivedNoData after 12.35 simulation seconds and 37.91% route progress. Bench2Drive marked entry_status=Crashed and eligible=false; partial no-collision and score values are not official safety outcomes.,False,146,route146_hazard_clean_off-1057201,12.25,environment_error,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_clean_off-1057201/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_01_27_08/control_trace.jsonl,246,0.0
clean_off,1.15,1.15,0.0,0.3554007112979889,0.20306440199061818,4.2832743550003,-0.0054092245386881165,"Official identical retry result: eligible=true, 100% route completion, score_composed=100.0, and zero pedestrian, vehicle, layout, lane, red-light, blocked, or timeout infractions. The clean agent stopped for the crossing pedestrian, resumed, and completed in 30.95 simulation seconds.",True,146,route146_hazard_clean_off-1057222,30.9,completed,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_clean_off-1057222/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_01_52_23/control_trace.jsonl,619,0.0
front_corrupt_off,0.95,0.95,0.0,0.5749129056930542,0.413080632022232,4.201346406053555,1.6168922864907829e-06,"Diagnostic-only partial run: control trace stopped at 15.65 simulation seconds. With the GPU at 0% utilization and both trace and agent log unchanged for more than 8 wall-clock minutes, the pre-declared no-progress watchdog cancelled the job. Partial behavior and any unregistered collision are not official outcomes.",False,146,route146_hazard_front_corrupt_off-1057242,15.65,environment_error,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_front_corrupt_off-1057242/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_02_30_11/control_trace.jsonl,314,0.5191082802547771
front_corrupt_off,3.599999999999998,35.15,31.55,0.5818815231323242,0.39272672123596314,1.2224244222021237,-0.8646839385614725,"Single full-route retry remained runtime-healthy but repeatedly contacted and overlapped the red vehicle near x=186 m in saved front/BEV frames, then oscillated without forward route progress. It was cancelled after 47:19 wall time to avoid waiting for Bench2Drive's minimum 300-second route timeout. This is strong failure-induction evidence but not an official collision, blocked, completion, infraction, or benchmark score.",False,146,route146_hazard_front_corrupt_off-1057253,45.7,diagnostic_screen_cancelled,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_front_corrupt_off-1057253/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_02_56_10/control_trace.jsonl,915,0.24153005464480876
front_corrupt_off,1.15,1.15,0.0,0.46689894795417786,0.2312827589972524,4.454651486491932,-0.006953153464431266,"Official finite-window off result: eligible=true and 100% route completion, but one pedestrian collision at (x=180.456, y=330.434), score_penalty=0.5 and score_composed=50.0. Corruption was active exactly once over projected route progress [0.30122, 0.55075); governor mode was off.",True,146,route146_hazard_front_corrupt_off-1057275,29.7,completed,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_front_corrupt_off-1057275/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_04_12_52/control_trace.jsonl,595,0.10588235294117647
front_corrupt_oracle,9.0,40.65,31.65,0.48083624243736267,0.33983682991172526,1.5312441956974525,-0.07819617818404237,"Finite-window oracle diagnostic did not pass the preregistered mechanism gate. It avoided the earlier off-run pedestrian collision point, but stopped making forward progress at route_progress=0.466800 and remained below 0.25 m/s for 9.00 consecutive simulation seconds (31.65--40.65 s). Job 1057294 was therefore cancelled by the uniform fast-screen rule. The evaluator remained entry_status=Started and eligible=false, so no official collision, completion, infraction, or benchmark score is claimed.",False,146,route146_hazard_front_corrupt_oracle-1057294,40.65,fast_screen_cancelled,results/closedloop_uq_pilot/uqcl_p0/raw/route146_hazard_front_corrupt_oracle-1057294/records_orion_traj_0/RouteScenario_24211_rep0_Town01_DynamicObjectCrossing_1_15_08_26_04_33_44/control_trace.jsonl,814,0.3366093366093366
clean_off,8.649999999999999,20.65,12.0,0.38675957918167114,0.26697975331647456,2.352179121158932,-0.01506739304648878,Clean baseline excluded after speed stayed below 0.25 m/s for 8.65 simulation seconds; governor was off.,False,148,route148_hazard_clean_off-1051652,20.65,fast_screen_cancelled,results/closedloop_uq_pilot/uqcl_p0/raw/route148_hazard_clean_off-1051652/records_orion_traj_0/RouteScenario_24240_rep0_Town10HD_Accident_1_23_08_25_16_48_49/control_trace.jsonl,414,0.0
clean_off,0.6,0.6,0.0,0.9686411023139954,0.33854529947178286,2.8248755558757432,-0.005966257211628903,"Official Bench2Drive result: 100% route completion, no collisions, score_composed=98.862078. The early lead vehicle disappearance is the benchmark's intentional clear_ego_entry background-traffic cleanup for PedestrianCrossing.",True,203,route203_hazard_clean_off-1051677,23.95,completed,results/closedloop_uq_pilot/uqcl_p0/raw/route203_hazard_clean_off-1051677/records_orion_traj_0/RouteScenario_27529_rep0_Town04_PedestrianCrossing_1_23_08_25_17_24_46/control_trace.jsonl,480,0.20208333333333334
front_corrupt_off,0.6,0.6,0.0,1.0,0.8208687659899394,1.8255721484674043,-0.0073579561533539395,"Diagnostic-only partial run. Bench2Drive reported SensorReceivedNoData at 18.8 simulation seconds (51.16% route progress), marked the run ineligible, and recorded no collisions before the sensor crash.",False,203,route203_hazard_front_corrupt_off-1055876,18.7,environment_error,results/closedloop_uq_pilot/uqcl_p0/raw/route203_hazard_front_corrupt_off-1055876/records_orion_traj_0/RouteScenario_27529_rep0_Town04_PedestrianCrossing_1_23_08_25_23_57_02/control_trace.jsonl,375,1.0
